,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hanzhong,33.0728,107.0303,59.23,56,4,3.18,CN,1613098800
1,La Ronge,55.1001,-105.2842,-13.97,76,100,10.33,CA,1613098800
2,Souillac,-20.5167,57.5167,78.6,74,87,11.41,MU,1613098800
3,Kibungan,16.695,120.6553,73.96,78,27,4.27,PH,1613098800
4,Provideniya,64.3833,-173.3,-7.96,73,55,19.77,RU,1613098800
5,Bengkulu,-3.8004,102.2655,84.11,74,99,4.18,ID,1613098800
6,Mehamn,71.0357,27.8492,21.78,91,85,8.66,NO,1613098800
7,Pisco,-13.7,-76.2167,73.31,75,36,0.34,PE,1613098800
8,Torbay,47.6666,-52.7314,24.78,95,95,32.39,CA,1613098800
9,Albany,42.6001,-73.9662,13.46,73,63,6.38,US,1613098800
10,Gamba,-2.65,10.0,78.46,87,100,4.94,GA,1613098800
11,Port Alfred,-33.5906,26.891,72.81,92,89,11.23,ZA,1613098800
12,Dwārka,22.2394,68.9678,70.86,71,0,7.67,IN,1613098800
13,Nikolskoye,59.7035,30.7861,1.81,90,87,3.38,RU,1613098800
14,Mataura,-46.1927,168.8643,69.24,53,2,3.51,NZ,1613098800
15,Hermanus,-34.4187,19.2345,72.72,85,65,6.8,ZA,1613098800
16,Castro,-24.7911,-50.0119,60.87,97,91,6.85,BR,1613098800
17,Saint-François,46.4154,3.9054,26.01,90,75,7.72,FR,1613098800
18,Arraial do Cabo,-22.9661,-42.0278,76.33,91,69,13.53,BR,1613098800
19,Lapua,62.9693,23.0088,6.01,89,8,3.96,FI,1613098800
20,Jamestown,42.097,-79.2353,10.35,86,44,5.48,US,1613098800
21,Iqaluit,63.7506,-68.5145,-3.95,82,46,11.77,CA,1613098800
22,Mustla,58.2343,25.8584,4.39,90,74,5.06,EE,1613098800
23,Fukuechō,32.6881,128.8419,55.76,65,87,8.32,JP,1613098800
24,Chui,-33.6971,-53.4616,70.36,91,100,11.88,UY,1613098800
25,Nynäshamn,58.9034,17.9479,13.28,77,12,11.61,SE,1613098800
